文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	表記開始ページ	表記終了ページ	発行年月日	物理ページ開始	物理ページ終了	備考
Symposium	計算機を用いたコンパイラ作成自動化の実験	Ja		1966/01			三菱電機株式会社;;三菱電機株式会社;;三菱電機株式会社		首藤,勝;;魚田,勝臣;;居原田,邦男					WPRO1966C05.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		C-53	C-73	1966/01	223	243	
Symposium	マトリクス計算のためのプログラミング言語について	Ja		1966/01			航技研		戸川,隼人					WPRO1966C06.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		C-74	C-83	1966/01	244	253	
Symposium	Compiler-Oriented Computer FACOM230-10について	Ja		1966/01			富士通信機製造株式会社		池田,敏雄;;渡辺,昭雄;;松本,利之;;石上,考雄;;村田,晋;;米山,照義;;広瀬,三二;;高野,稔;;戸田,恵一					WPRO1966C07.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		C-84	C-114	1966/01	254	286	
Symposium	D	Ja		1966/01										WPRO1966D00.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966				1966/01	287	287	
Symposium	実験整数論について	Ja		1966/01			阪大理		山本,芳彦					WPRO1966D01.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		D-1	D-3	1966/01	289	291	
Symposium	長方形のディリクレ問題の計算に有用な多項式について	Ja		1966/01			早大理工;;茨城大理;;早大理工;;早大理工		中島,勝也;;小野瀬,宏;;野中,隆一;;和田,興太郎					WPRO1966D02.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		D-4	D-14	1966/01	292	302	
Symposium	常微分方程式の数値解法における数学的諸問題	Ja		1966/01			東理大		清水,辰次郎					WPRO1966D03.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		D-15	D-27	1966/01	303	315	
Symposium	計算機による複素積分の留数計算	Ja		1966/01			Rice University;;東北大;;東北大		J.E.Kilpatrick;;桂,重俊;;井上,雄次					WPRO1966D04.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		D-28	D-35	1966/01	316	323	
Symposium	折りたたみ計算法による一様最良化有理関数近似の例 ―2^x, log2 x [ -1/2 ≤ x ≤ +1/2 ] の近似関数―	Ja		1966/01			慶大工学部		山内,二郎					WPRO1966D05.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		D-36	D-45	1966/01	324	333	
Symposium	Γ(2+x)のminmax多項式近似	Ja		1966/01			電気試験所		戸田,英雄					WPRO1966D06.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		D-46	D-53	1966/01	334	341	
Symposium	自由討論	Ja		1966/01										WPRO1966F00.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966				1966/01	343	343	
Symposium	HITAC 5020用SLIPシステム	Ja		1966/01			東大,理学部,物理学教室		木村,泉					WPRO1966F01.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		自-1	自-2	1966/01	345	346	
Symposium	“夢のシンポジウム”第1回報告集	Ja		1966/01										WPRO1966Y10.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966				1966/01	347	347	
Symposium	“夢のシンポジウム”第1回 ―電子計算機の将来展望シンポジウム―	Ja		1966/01					米田,信夫					WPRO1966Y11.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		Y1-1	Y1-13	1966/01	349	361	
Symposium	“夢のシンポジウム”第2回報告集	Ja		1966/01										WPRO1966Y20.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966				1966/01	363	363	
Symposium	第2回 夢のシンポジウム報告	Ja		1966/01			日本電気		田中,明					WPRO1966Y21.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		Y2-1	Y2-15	1966/01	365	379	
Symposium	裏表紙	Ja		1966/01										WPRO1966back.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966				1966/01	384	384	
